game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
78430014-8700-4fb1-a297-f396242f34c8,60,FSIMB June,Budapest HUN,2000.06.06,4,"Nakamura,H","Resika,N",0-1,2261,2190,"Resika,N",2190,"Nakamura,H",2261,-71,B09,2022-07-15T18:12:54+0000,Nakamura.pgn
a76b1c60-4e40-43fa-aa92-c89d91aa87a1,61,FSIMB June,Budapest HUN,2000.06.07,5,"Bognar,C","Nakamura,H",1/2-1/2,2246,2261,draw,,draw,,0,E84,2022-07-15T18:12:54+0000,Nakamura.pgn
f2d127f3-afdd-4325-8278-b97fb93eef16,62,FSIMB June,Budapest HUN,2000.06.08,6,"Nakamura,H","Keatinge Clay,A",1/2-1/2,2261,2287,draw,,draw,,0,B33,2022-07-15T18:12:54+0000,Nakamura.pgn
7f4b7a6d-d492-4e65-9ebc-9a7b5c4da41b,63,FSIMB June,Budapest HUN,2000.06.09,7,"Dudas,Jano","Nakamura,H",0-1,2321,2261,"Nakamura,H",2261,"Dudas,Jano",2321,-60,D00,2022-07-15T18:12:54+0000,Nakamura.pgn
efdcdca4-9652-47d7-a157-6af1aa9a17cc,64,FSIMB June,Budapest HUN,2000.06.10,8,"Kaposztas,M","Nakamura,H",1/2-1/2,2302,2261,draw,,draw,,0,E70,2022-07-15T18:12:54+0000,Nakamura.pgn
e869ef42-ef82-43a5-8005-70b8a1eb1253,65,FSIMB June,Budapest HUN,2000.06.11,9,"Nakamura,H","Daamen,F",1-0,2261,2155,"Nakamura,H",2261,"Daamen,F",2155,106,B90,2022-07-15T18:12:54+0000,Nakamura.pgn
842fa335-8e9e-4572-b888-c3f23659e000,66,FSIMB June,Budapest HUN,2000.06.12,10,Yu Mingyuan,"Nakamura,H",1/2-1/2,2419,2261,draw,,draw,,0,E92,2022-07-15T18:12:54+0000,Nakamura.pgn
b1e7f52e-7c44-4082-9374-5ca82e754e21,67,FSIMB June,Budapest HUN,2000.06.13,11,"Nakamura,H","Eperjesi,L",1/2-1/2,2261,2365,draw,,draw,,0,B13,2022-07-15T18:12:54+0000,Nakamura.pgn
b865f182-9708-4172-9b21-88f144cf94e9,68,World Open,Philadelphia USA,2000.07.02,5,"Nakamura,H","Zaichik,G",0-1,2261,2489,"Zaichik,G",2489,"Nakamura,H",2261,228,B15,2022-07-15T18:12:54+0000,Nakamura.pgn
10c6a4b2-e42e-459d-a1a8-02589c072fe8,69,World Open,Philadelphia USA,2000.07.04,8,"Gaprindashvili,V","Nakamura,H",1-0,2446,2261,"Gaprindashvili,V",2446,"Nakamura,H",2261,185,A48,2022-07-15T18:12:54+0000,Nakamura.pgn
